recording_id,relative_path,fault_type,fault_diameter,load_hp,size_bytes,sha256,readable,read_error,de_samples,windows_50pct_overlap
Normal_0HP_1797rpm.mat,01_Normal_Baseline/Normal_0HP_1797rpm.mat,Normal,None,0,3903344,16bf48babcf1c7ac224bc1a81cd9eafdb27e42d5cf559761907e067e8eeadf3c,True,,243938,475
Normal_1HP_1772rpm.mat,01_Normal_Baseline/Normal_1HP_1772rpm.mat,Normal,None,1,7742720,37e6612c05e65c415dcfa2ab27a3fda648a5863160fa898b884a14743044e045,True,,483903,944
Normal_2HP_1750rpm.mat,01_Normal_Baseline/Normal_2HP_1750rpm.mat,Normal,None,2,15503928,4b97e6b5361f45efb6951dc3b1aebcdb3b89cb69d0f96d6f5c297dd9f45eee75,True,,483903,944
Normal_3HP_1730rpm.mat,01_Normal_Baseline/Normal_3HP_1730rpm.mat,Normal,None,3,7770624,88a5990cb541320e91505a1d72139e1993500ffe6e292a451011667f4138ca78,True,,485643,947
B007_0HP_1797rpm.mat,02_12k_Drive_End_Fault/B007_0HP_1797rpm.mat,B,007,0,2942112,b00628f8dd8d1d930af77fa465d1e5cdb385fe259489053f91f3680bda7f640e,True,,122571,238
B007_1HP_1772rpm.mat,02_12k_Drive_End_Fault/B007_1HP_1772rpm.mat,B,007,1,2914248,bc72d9df7668219e004a0f711232b23ec0aed393eb9bd8f9f5483426f6b51330,True,,121410,236
B007_2HP_1750rpm.mat,02_12k_Drive_End_Fault/B007_2HP_1750rpm.mat,B,007,2,2917752,e0b7a584c49af52335ff0904a97d4afcf02d045625c582de63a7c85ce10b489c,True,,121556,236
B007_3HP_1730rpm.mat,02_12k_Drive_End_Fault/B007_3HP_1730rpm.mat,B,007,3,2917752,52f686e984ba8e9b04a047a57416271cdb322cee57ee105dce58926a24b966cb,True,,121556,236
B014_0HP_1797rpm.mat,02_12k_Drive_End_Fault/B014_0HP_1797rpm.mat,B,014,0,2924712,5bea2c60f177215ba3ec4ae287faf745d7e14aed1a12efe9e37b27c27044bafc,True,,121846,236
B014_1HP_1772rpm.mat,02_12k_Drive_End_Fault/B014_1HP_1772rpm.mat,B,014,1,2931672,1b3b6f3ad38e891feaa8026fe957b34f62f9082785089cc74f6878acdfe88ec5,True,,122136,237
B014_2HP_1750rpm.mat,02_12k_Drive_End_Fault/B014_2HP_1750rpm.mat,B,014,2,2928192,0f1338cce89beb5c8d8e5e154579bc576354e7c7d1617ebd1759662c6f3100b2,True,,121991,237
B014_3HP_1730rpm.mat,02_12k_Drive_End_Fault/B014_3HP_1730rpm.mat,B,014,3,2931672,1981614324d653c2522bea68fd4fd87e337495b117d12596db67abd1e10e7443,True,,122136,237
B021_0HP_1797rpm.mat,02_12k_Drive_End_Fault/B021_0HP_1797rpm.mat,B,021,0,2928192,fcc0ee740fa123b1f4683f555458891719efb2857afd9fdee63e8fde0ed14469,True,,121991,237
B021_1HP_1772rpm.mat,02_12k_Drive_End_Fault/B021_1HP_1772rpm.mat,B,021,1,2921232,7287410fd2217e3b332c5ab4732a68963be046d7d17bd40efa41cabe6a0514e5,True,,121701,236
B021_2HP_1750rpm.mat,02_12k_Drive_End_Fault/B021_2HP_1750rpm.mat,B,021,2,2931672,8a16894c2ff4d6bcdb9f4c345c0d5f13737b3bd6d15015d6b566c86e7a3ee7b7,True,,122136,237
B021_3HP_1730rpm.mat,02_12k_Drive_End_Fault/B021_3HP_1730rpm.mat,B,021,3,2931672,ece92fa141af03473fdfca80d00d9112472a20340224514e79979c6ddc97a6cf,True,,122136,237
IR007_0HP_1797rpm.mat,02_12k_Drive_End_Fault/IR007_0HP_1797rpm.mat,IR,007,0,2910768,f80b0ea04fd06b372a0eaec7c056543ea37e4bb4727a5b173d2a5bacd2aa9cab,True,,121265,235
IR007_1HP_1772rpm.mat,02_12k_Drive_End_Fault/IR007_1HP_1772rpm.mat,IR,007,1,2928192,e5cec7cdd138e6cd1deb9ed8634e5aaa9bc1bd7094ddc075bff606580eb6e883,True,,121991,237
IR007_2HP_1750rpm.mat,02_12k_Drive_End_Fault/IR007_2HP_1750rpm.mat,IR,007,2,2931672,111ba8996a115684661a13c913bd74d8029a59294492f88aec7b03e175fdd388,True,,122136,237
IR007_3HP_1730rpm.mat,02_12k_Drive_End_Fault/IR007_3HP_1730rpm.mat,IR,007,3,2950416,d415f0e65128bfa0b118c2051c988fb0dc6ce3e4c8aa45fdc5ad1d0967462e7d,True,,122917,239
IR014_0HP_1797rpm.mat,02_12k_Drive_End_Fault/IR014_0HP_1797rpm.mat,IR,014,0,2924712,f5448673725c4ea2735fe7d3fe4b16ad82b217eac6b62c4bf351c4549b0a5229,True,,121846,236
IR014_1HP_1772rpm.mat,02_12k_Drive_End_Fault/IR014_1HP_1772rpm.mat,IR,014,1,2924712,bcb73a5208b67265468232a2e342f53719850901671d0ee28494f3af97621f46,True,,121846,236
IR014_2HP_1750rpm.mat,02_12k_Drive_End_Fault/IR014_2HP_1750rpm.mat,IR,014,2,2924712,63d0fdc1a68e64610ddfaf56a9c224d6137ab7b5c0d318eea1d542b9e5ffc029,True,,121846,236
IR014_3HP_1730rpm.mat,02_12k_Drive_End_Fault/IR014_3HP_1730rpm.mat,IR,014,3,2921232,f75170ceef70d5da475671de0d2e52a0acd9b3883ad422b6deaf2907d888ba24,True,,121701,236
IR021_0HP_1797rpm.mat,02_12k_Drive_End_Fault/IR021_0HP_1797rpm.mat,IR,021,0,2931672,9f723d6d9d2eba714c6dc50f99321dffa73d8b1e4d3605675b2c2251511eff80,True,,122136,237
IR021_1HP_1772rpm.mat,02_12k_Drive_End_Fault/IR021_1HP_1772rpm.mat,IR,021,1,2917752,596692397e77e129a00f7b7a61c4c3ffd6c7a59979b89039e7f70a7431cce1c7,True,,121556,236
IR021_2HP_1750rpm.mat,02_12k_Drive_End_Fault/IR021_2HP_1750rpm.mat,IR,021,2,2924712,8296a02ee489c2d16cbd9fc278ca2e29b22475cec70ebe840558c78b6b743dc1,True,,121846,236
IR021_3HP_1730rpm.mat,02_12k_Drive_End_Fault/IR021_3HP_1730rpm.mat,IR,021,3,2928192,bfe13761f545a26b217db897a12d27e16fec74306aa86ade8dbdc8ebe587c253,True,,121991,237
OR007@6_0HP_1797rpm.mat,02_12k_Drive_End_Fault/OR007@6_0HP_1797rpm.mat,OR,007,0,2928192,35a095307d0971477049b343a1b5981dde465a58fb7f233ad89b035068c1717d,True,,121991,237
OR007@6_1HP_1772rpm.mat,02_12k_Drive_End_Fault/OR007@6_1HP_1772rpm.mat,OR,007,1,2938632,7883f7b83beadc54b2f301767f9145ce07055707182fb0278fdf0a6bb53ce3cb,True,,122426,238
OR007@6_2HP_1750rpm.mat,02_12k_Drive_End_Fault/OR007@6_2HP_1750rpm.mat,OR,007,2,2914248,17a69ed5d2270b42532e678e35bbe2fa04a2cc413cf2bf9e88c7692de8662d18,True,,121410,236
OR007@6_3HP_1730rpm.mat,02_12k_Drive_End_Fault/OR007@6_3HP_1730rpm.mat,OR,007,3,2942112,53f076cb0d905cf46bffaee7736abce8224ffed777deed03c0c863d762a90c71,True,,122571,238
OR014@6_0HP_1797rpm.mat,02_12k_Drive_End_Fault/OR014@6_0HP_1797rpm.mat,OR,014,0,2924712,fa571b47cd942f9514a920b403fb7c053cd442bb2963a360a96d0f61432f03e9,True,,121846,236
