epoch,train_loss,train_acc,val_acc,val_loss
1,0.19228133845371193,0.9191321499013807,0.9848,0.0382
2,0.006663315539190818,0.9981684981684982,0.9628,0.1088
3,0.004741198615347885,0.998872921949845,1.0,0.0004
4,0.0009482913945973309,0.9998591152437306,0.9742,0.0746
5,0.025049775648434643,0.993941955480417,0.872,0.5383
6,0.016737642281532086,0.9953508030431107,0.997,0.0085
7,0.008402532187703668,0.9974640743871513,0.9979,0.0096
8,0.009639324706340895,0.9970414201183432,0.9937,0.0199
9,0.008254045161115392,0.9980276134122288,1.0,0.0019
10,0.0038701865551449715,0.9991546914623838,0.9996,0.002
11,0.005973680106948964,0.998450267681037,1.0,0.0001
12,0.000604218790372852,0.9997182304874612,1.0,0.0
13,0.000275502540925189,1.0,1.0,0.0
14,0.0002229474593497358,1.0,1.0,0.0
15,5.369638616094383e-05,1.0,1.0,0.0
16,4.089871225509816e-05,1.0,1.0,0.0
17,9.679505118655118e-05,1.0,1.0,0.0
18,3.4155608278948974e-05,1.0,1.0,0.0
19,5.7527628720467175e-05,1.0,1.0,0.0
20,3.162731482874221e-05,1.0,1.0,0.0
21,2.8042109760367506e-05,1.0,1.0,0.0
22,2.20326663934485e-05,1.0,1.0,0.0
23,0.00012179764667725653,1.0,1.0,0.0
24,8.418717247763754e-05,1.0,1.0,0.0
25,5.640754579747079e-05,1.0,1.0,0.0
26,5.34707240507889e-05,1.0,1.0,0.0
27,3.796445022889568e-05,1.0,1.0,0.0
28,3.742435353626504e-05,1.0,1.0,0.0
29,4.619097360519376e-05,1.0,1.0,0.0
30,0.017282247184769558,0.995069033530572,0.681,0.7689
31,0.01989225908190895,0.995069033530572,0.9992,0.003
32,0.01795319609725037,0.996196111580727,0.9806,0.0944
33,0.005470228882201323,0.998450267681037,0.9996,0.0007
34,0.0017030418847716893,0.9997182304874612,1.0,0.0001
35,0.00027295181064061156,1.0,1.0,0.0
36,0.00010028125877258388,1.0,1.0,0.0001
37,4.5585535084602235e-05,1.0,1.0,0.0
38,0.0001898550422723033,0.9998591152437306,1.0,0.0001
39,6.788638594685662e-05,1.0,1.0,0.0
40,5.823965617070669e-05,1.0,1.0,0.0
41,0.0019845554475602955,0.9994364609749226,0.9992,0.0014
42,0.006909800386943524,0.9987320371935756,0.9903,0.0248
43,0.0008983257198624592,0.9995773457311918,1.0,0.0
44,9.882264258633632e-05,1.0,1.0,0.0
45,3.691635220455282e-05,1.0,1.0,0.0
46,5.007627567219004e-05,1.0,1.0,0.0
47,3.3226669054547716e-05,1.0,1.0,0.0
48,7.721263782945954e-05,1.0,1.0,0.0
49,3.941786514717803e-05,1.0,1.0,0.0
50,1.7195150437962452e-05,1.0,1.0,0.0
