epoch,train_loss,train_acc,val_acc,val_loss
1,0.22448215619565132,0.9039165962242885,0.2945,6.1278
2,0.02645554255497862,0.9911242603550295,0.349,6.3481
3,0.007830481168284706,0.9976049591434207,0.2902,8.6576
4,0.0074659008955256,0.997323189630882,0.3135,8.263
5,0.0035758071115739574,0.9991546914623838,0.3642,7.7378
6,0.003106639430133658,0.9990138067061144,0.3452,8.9861
7,0.005558618969250146,0.9978867286559594,0.3316,8.251
8,0.0008857010924577817,0.9998591152437306,0.3604,9.9616
9,0.00025664378718283945,1.0,0.417,8.6911
10,0.00012719418990708717,1.0,0.395,9.8454
11,7.620859526267166e-05,1.0,0.3967,9.8249
12,3.325902038280676e-05,1.0,0.395,10.0098
13,3.1133280430788754e-05,1.0,0.4043,9.6572
14,1.9838179320939257e-05,1.0,0.4001,9.9277
15,2.9504504928473728e-05,1.0,0.4056,9.7844
16,4.9355570233887186e-05,1.0,0.403,9.9038
17,2.4397729628494006e-05,1.0,0.4128,9.8618
18,2.7250493656343036e-05,1.0,0.4119,9.8669
19,1.3258976003146725e-05,1.0,0.4077,10.0445
20,1.8884341783805133e-05,1.0,0.4073,9.8347
21,1.8832497155338183e-05,1.0,0.4208,10.2095
22,1.260242246171268e-05,1.0,0.4204,10.3623
23,1.5834867617887184e-05,1.0,0.4043,10.6261
24,1.747657415596086e-05,1.0,0.4052,10.3153
25,1.1984472399222644e-05,1.0,0.4035,10.4821
26,9.845545508748938e-06,1.0,0.4009,10.6091
27,1.0960387962771e-05,1.0,0.4018,10.7779
28,1.1878313600089382e-05,1.0,0.4018,10.6413
29,5.1599499071636055e-06,1.0,0.4064,10.7228
30,4.676812137282869e-06,1.0,0.4035,10.983
31,5.168459122167177e-06,1.0,0.4052,10.9614
32,1.0132119930209097e-05,1.0,0.4136,10.7588
33,1.0002220132876707e-05,1.0,0.4077,11.1169
34,1.1209476845884014e-05,1.0,0.4073,10.9233
35,4.476473126629663e-06,1.0,0.4056,11.0348
36,0.04670364152249289,0.9884474499859115,0.2666,24.3137
37,0.02534715927633197,0.9911242603550295,0.463,6.7725
38,0.007911346454083973,0.9971823048746126,0.463,6.1693
39,0.004256956775174598,0.9987320371935756,0.515,5.9612
40,0.0031653365906533864,0.9992955762186532,0.5053,6.1162
41,0.0032079322501087013,0.9991546914623838,0.485,7.6405
42,0.002707215742619798,0.998872921949845,0.4702,8.5753
43,0.0030918590355036558,0.9991546914623838,0.4719,10.6825
44,0.0001895534548240273,1.0,0.4478,10.0557
45,0.0020010666517323596,0.9992955762186532,0.4685,8.0332
46,0.0005266566061952473,0.9998591152437306,0.4951,6.9889
47,0.00018523066641355974,1.0,0.488,7.935
48,8.254010900962e-05,1.0,0.4858,8.2845
49,9.008573963468174e-05,1.0,0.4896,8.0937
50,4.7502246615563833e-05,1.0,0.4909,8.3236
