epoch,train_loss,train_acc,val_acc,val_loss
1,0.2006338387551942,0.9198478658966052,0.989,0.0389
2,0.022246583880614457,0.9943654035779688,0.9801,0.0659
3,0.00978268418974827,0.9971827017889844,0.9941,0.0144
4,0.012292317870297487,0.9964783772362305,0.9911,0.0272
5,0.0039602500281714775,0.9983096210733906,0.9987,0.0027
6,0.0006089195749294543,1.0,0.9979,0.0091
7,0.0002987798578324955,1.0,0.9992,0.0011
8,0.00034188422548451743,1.0,0.9734,0.2075
9,0.013337818697708365,0.9961966474151289,0.9983,0.0033
10,0.0033132642892005314,0.9991548105366953,0.9983,0.0062
11,0.0008297781781732284,0.9997182701788985,0.9992,0.0046
12,0.00011937395939247921,1.0,0.9992,0.0048
13,9.463514244121467e-05,1.0,0.9992,0.0029
14,7.752256105322796e-05,1.0,0.9992,0.0028
15,5.310334734312018e-05,1.0,0.9992,0.0032
16,6.32461334129863e-05,1.0,0.9992,0.0027
17,3.156482089571045e-05,1.0,0.9992,0.0025
18,0.00014237577321677767,1.0,0.9992,0.0028
19,5.051493088383915e-05,1.0,0.9992,0.0016
20,3.864558371386492e-05,1.0,0.9992,0.0029
21,0.00010422535048461994,1.0,0.9992,0.0016
22,3.624946838793993e-05,1.0,0.9992,0.0028
23,2.359079652130618e-05,1.0,0.9992,0.0027
24,1.9834849817542647e-05,1.0,0.9992,0.0025
25,1.3940931980012755e-05,1.0,0.9992,0.0023
26,1.65080135808013e-05,1.0,0.9992,0.0023
27,3.196864213744593e-05,1.0,0.9992,0.0021
28,1.112060361329123e-05,1.0,0.9992,0.002
29,1.0366650100645497e-05,1.0,0.9992,0.0025
30,8.85453517516506e-06,1.0,0.9992,0.0025
31,1.1352196689734723e-05,1.0,0.9992,0.002
32,8.767083479942637e-06,1.0,0.9992,0.0018
33,9.310967369502644e-06,1.0,0.9992,0.0019
34,2.9563528107273544e-05,1.0,0.9992,0.0024
35,7.868647903912912e-06,1.0,0.9992,0.0037
36,3.4850223425327486e-06,1.0,0.9992,0.0035
37,6.657698505673303e-06,1.0,0.9992,0.004
38,3.06694611402002e-06,1.0,0.9992,0.0036
39,3.6934295103355248e-06,1.0,0.9992,0.0035
40,3.313044834634462e-06,1.0,0.9992,0.0032
41,2.6087478862152505e-06,1.0,0.9992,0.0029
42,2.750751665857707e-06,1.0,0.9992,0.0033
43,5.567861380874927e-06,1.0,0.9992,0.0033
44,3.6865120057993014e-06,1.0,0.9992,0.0035
45,1.3378949421324619e-05,1.0,0.9992,0.0029
46,2.1850620734290475e-05,1.0,0.9992,0.0046
47,2.799614451452261e-06,1.0,0.9992,0.004
48,3.1273345315148293e-06,1.0,0.9992,0.0038
49,3.0157020403978615e-06,1.0,0.9992,0.0034
50,2.853285052812517e-06,1.0,0.9992,0.0041
