epoch,train_loss,train_acc,val_acc,val_loss
1,0.23067646478684595,0.9054663285432516,0.9713,0.0699
2,0.013815641148226053,0.9956325725556495,0.9962,0.0123
3,0.005172934055327844,0.9985911524373062,0.9523,0.1291
4,0.0284024661824907,0.9908424908424909,0.9928,0.0196
5,0.004148747784016818,0.998450267681037,0.9962,0.0122
6,0.0009250638282680178,1.0,0.9979,0.0074
7,0.00023280786889786687,1.0,0.9992,0.0014
8,0.0002238776312937483,1.0,0.9996,0.0013
9,0.00021867923576509828,1.0,0.9992,0.0011
10,0.00013172992240262872,1.0,0.9996,0.0011
11,0.00013438495420282679,1.0,0.9992,0.0016
12,0.00011205030530851079,1.0,0.9996,0.0008
13,0.00019858714659607544,1.0,0.9996,0.0012
14,7.998690103595917e-05,1.0,0.9996,0.0008
15,4.331774798311568e-05,1.0,0.9996,0.0014
16,4.590894148401085e-05,1.0,0.9996,0.0015
17,7.324548844959267e-05,1.0,0.9996,0.001
18,4.534061163538215e-05,1.0,0.9996,0.0007
19,5.1904623713559644e-05,1.0,0.9996,0.0007
20,3.9741898390503386e-05,1.0,0.9996,0.0007
21,5.5486160165313314e-05,1.0,0.9996,0.001
22,1.8833605650568733e-05,1.0,0.9996,0.001
23,2.5276518156196155e-05,1.0,1.0,0.0007
24,2.343097613914417e-05,1.0,1.0,0.0006
25,3.9358073463625575e-05,1.0,1.0,0.0006
26,2.347746615266313e-05,1.0,0.9996,0.0009
27,3.702327004201065e-05,1.0,0.9996,0.0007
28,2.4775334127543002e-05,1.0,0.9996,0.0008
29,1.2897467687417352e-05,1.0,0.9996,0.0009
30,2.2388092493751532e-05,1.0,0.9996,0.0009
31,1.2004453773842468e-05,1.0,0.9996,0.0006
32,1.1107641588641183e-05,1.0,0.9996,0.0006
33,1.3992896542283625e-05,1.0,0.9996,0.001
34,7.11364901579524e-06,1.0,0.9996,0.001
35,1.1686766264561475e-05,1.0,0.9992,0.003
36,1.221155619626176e-05,1.0,0.9992,0.0018
37,1.2553440738342342e-05,1.0,0.9996,0.0012
38,4.489013588720269e-05,1.0,0.9992,0.0014
39,8.635128217522026e-06,1.0,0.9996,0.001
40,7.763867975066065e-06,1.0,0.9996,0.0008
41,0.009664709190545483,0.9978867286559594,0.9155,0.6785
42,0.05837459845365271,0.982952944491406,0.973,0.0871
43,0.0053172777940892575,0.9980276134122288,0.9983,0.005
44,0.004292990040862248,0.998872921949845,0.9966,0.0079
45,0.0014025629918753867,0.9992955762186532,0.9996,0.0024
46,0.00044489365482165255,1.0,0.9975,0.0058
47,0.00018087398404541478,1.0,0.9992,0.0029
48,0.00011982961847021266,1.0,0.9992,0.002
49,0.00012878695897595372,1.0,0.9992,0.0023
50,5.912471467659302e-05,1.0,0.9992,0.002
