epoch,train_loss,train_acc,val_acc,val_loss
1,0.15930078424892874,0.940096195889812,0.931,0.2106
2,0.0031301886645899624,0.9991254919108001,0.956,0.1556
3,0.0005208213146331544,1.0,0.937,0.3072
4,0.000305760539555895,1.0,0.942,0.2567
5,0.00017810336658905063,1.0,0.9217,0.4901
6,0.00011351838185529008,1.0,0.9349,0.3507
7,0.00017610916623916214,1.0,0.9353,0.4071
8,7.308858787068134e-05,1.0,0.9179,0.511
9,5.650106671040276e-05,1.0,0.9349,0.3916
10,5.158494082405955e-05,1.0,0.9281,0.4223
11,3.1170774827766694e-05,1.0,0.9255,0.4698
12,2.2343083651484034e-05,1.0,0.9281,0.429
13,3.206781130054307e-05,1.0,0.9124,0.6074
14,1.4003619154428038e-05,1.0,0.9289,0.441
15,1.957135470491052e-05,1.0,0.9323,0.4153
16,1.654354089230891e-05,1.0,0.9294,0.4395
17,1.0693746231390846e-05,1.0,0.9404,0.3365
18,2.2952539028739707e-05,1.0,0.9454,0.2928
19,1.8359020330415348e-05,1.0,0.9374,0.3622
20,1.991698562003713e-05,1.0,0.9437,0.3136
21,0.00012599438413022477,1.0,0.9294,0.5336
22,0.05077377759718896,0.9880483894476024,0.9306,0.3564
23,0.0021043993557591646,0.9994169946072001,0.9323,0.367
24,0.0002772780568766601,1.0,0.9556,0.2071
25,0.00015862769211042873,1.0,0.9488,0.2601
26,0.0004971671035701827,0.9998542486518001,0.9133,0.4907
27,0.001342485959674315,0.9995627459554001,0.9391,0.4339
28,0.00010643648342282364,1.0,0.9501,0.3038
29,0.00012626211108051515,1.0,0.9154,0.4894
30,0.00022051114560149923,0.9998542486518001,0.9484,0.2878
31,7.030957087754468e-05,1.0,0.945,0.355
32,3.0026060473726877e-05,1.0,0.9387,0.4278
33,6.492884673160108e-05,1.0,0.937,0.4527
34,2.3125646461608497e-05,1.0,0.9395,0.4347
35,2.3758461466153205e-05,1.0,0.9459,0.3653
36,2.508336139203238e-05,1.0,0.9475,0.3423
37,2.2949930315084954e-05,1.0,0.9416,0.384
38,3.0899608772880464e-05,1.0,0.9463,0.3443
39,7.647094879266785e-05,1.0,0.9336,0.5239
40,1.3054104106986463e-05,1.0,0.9264,0.574
41,1.0827500807370685e-05,1.0,0.9285,0.5493
42,1.5295727334418888e-05,1.0,0.9285,0.5529
43,9.150702998246601e-06,1.0,0.9302,0.5477
44,2.5701828167200853e-05,1.0,0.9281,0.5559
45,8.615318194321172e-06,1.0,0.9429,0.4647
46,2.9439192998052592e-05,1.0,0.9429,0.4362
47,1.742281932464542e-05,1.0,0.9387,0.4595
48,9.245265685468054e-06,1.0,0.9416,0.4479
49,8.154327482998866e-06,1.0,0.9387,0.4648
50,1.0834291625286418e-05,1.0,0.9357,0.5199
