epoch,train_loss,train_acc,val_acc,val_loss
1,0.13465927427228636,0.9513403263403264,0.6174,3.5034
2,0.00882594392907039,0.9976689976689976,0.6564,3.0623
3,0.00035966708041477346,1.0,0.6648,3.6008
4,0.0008468040244315701,0.9998543123543123,0.6991,3.7289
5,0.0004270995915887062,0.9998543123543123,0.6894,3.8504
6,8.130069714341321e-05,1.0,0.686,4.0901
7,8.22528200696216e-05,1.0,0.6788,4.3069
8,7.125703070249239e-05,1.0,0.6826,4.4279
9,2.762089626932322e-05,1.0,0.683,4.4488
10,5.6203600239326976e-05,1.0,0.6796,4.6536
11,5.49178151641066e-05,1.0,0.6581,4.581
12,2.509775995116424e-05,1.0,0.6826,4.438
13,2.2794163372654725e-05,1.0,0.689,4.6096
14,1.8712592496329112e-05,1.0,0.6961,4.5785
15,1.61549692770073e-05,1.0,0.6978,4.7377
16,1.5116034472932352e-05,1.0,0.6928,4.7668
17,9.605690618072255e-06,1.0,0.6936,4.9549
18,8.223168072772899e-06,1.0,0.6957,4.9682
19,4.372685882142807e-06,1.0,0.6945,5.0066
20,1.3224809707957222e-05,1.0,0.6961,5.1065
21,7.045725399542564e-06,1.0,0.6932,5.1942
22,1.42920978305483e-05,1.0,0.6906,5.2531
23,5.171484436402939e-06,1.0,0.6915,5.228
24,6.822729165559668e-06,1.0,0.6928,5.3427
25,4.8065895622461206e-06,1.0,0.6906,5.3599
26,5.979704006371626e-06,1.0,0.6898,5.4135
27,7.420840357619692e-06,1.0,0.6906,5.496
28,1.1645195113243912e-05,1.0,0.6928,5.5043
29,1.012815532403046e-05,1.0,0.6898,5.5291
30,4.389959257007944e-06,1.0,0.6928,5.5865
31,1.8602592047602127e-06,1.0,0.6936,5.5836
32,3.237503644237701e-06,1.0,0.6915,5.6212
33,4.295924522158056e-06,1.0,0.6915,5.6776
34,3.785811332953034e-06,1.0,0.6873,5.6076
35,3.264635642264904e-06,1.0,0.689,5.589
36,2.0994737895515244e-06,1.0,0.6898,5.6373
37,4.102762163032894e-06,1.0,0.6902,5.7195
38,4.950017037705814e-06,1.0,0.6932,5.8112
39,4.317491674444868e-06,1.0,0.6902,5.8561
40,1.4849143498356059e-06,1.0,0.6936,5.8429
41,1.8391817254344762e-06,1.0,0.6928,5.9206
42,2.5161891494714662e-06,1.0,0.6902,5.7884
43,1.5358190484696156e-06,1.0,0.6902,5.859
44,1.904311656584477e-05,1.0,0.7,6.2819
45,1.593509196416855e-05,1.0,0.6995,6.0879
46,1.1383781396003724e-05,1.0,0.7,6.3841
47,1.4422045164829608e-05,1.0,0.7004,6.3769
48,6.230548220645102e-06,1.0,0.6995,6.1013
49,1.8485101832624792e-06,1.0,0.6995,6.1142
50,1.5990750145705892e-06,1.0,0.7,6.2406
