epoch,train_loss,train_acc,val_acc,val_loss
1,0.14854174623828129,0.9456585081585082,0.5853,2.864
2,0.0036528825158544213,0.9991258741258742,0.6809,3.5544
3,0.0003649460195616921,1.0,0.6881,4.1183
4,0.00028505573039655984,1.0,0.697,4.3208
5,0.00016046534966655582,1.0,0.6915,4.4185
6,8.598235576214933e-05,1.0,0.6957,4.4846
7,0.0001393470199890478,1.0,0.6978,4.4822
8,5.37656994537808e-05,1.0,0.6978,4.8126
9,4.037951661057017e-05,1.0,0.6974,5.0848
10,5.10893960021103e-05,1.0,0.6919,4.7348
11,3.818542272138647e-05,1.0,0.6987,4.9438
12,2.5655595404746205e-05,1.0,0.6995,5.0336
13,3.5490572019523925e-05,1.0,0.7004,4.6823
14,1.9672264423075355e-05,1.0,0.6974,4.967
15,1.861324995039968e-05,1.0,0.7,5.1931
16,2.034104545282707e-05,1.0,0.7,5.4214
17,1.9801992019912158e-05,1.0,0.6966,4.9662
18,1.6442369988083773e-05,1.0,0.6974,5.1231
19,1.5305840675633517e-05,1.0,0.6983,5.3274
20,1.6664982920400686e-05,1.0,0.7,5.5212
21,1.4155478644140537e-05,1.0,0.6991,5.5416
22,1.175110957831691e-05,1.0,0.6991,5.7138
23,2.9781332132707664e-05,1.0,0.7004,5.4915
24,2.0853397181845076e-05,1.0,0.7,5.8017
25,1.5079133647351484e-05,1.0,0.7,5.9734
26,1.072458393969577e-05,1.0,0.7,5.6634
27,5.3002976621941434e-06,1.0,0.6991,5.8473
28,9.062731116091632e-06,1.0,0.6991,5.5587
29,1.5548659553079894e-05,1.0,0.6995,5.8335
30,7.654150792059269e-06,1.0,0.7004,5.877
31,6.2948300670395075e-06,1.0,0.7004,5.8359
32,0.037127238114763206,0.9914044289044289,0.6538,6.9757
33,0.017571487207978416,0.995483682983683,0.5992,5.0242
34,0.0012182148224349207,0.9998543123543123,0.6763,5.4307
35,0.0003106184374739276,1.0,0.6174,5.3576
36,0.0009048458357425168,0.9997086247086248,0.6754,5.186
37,0.0001931397069575556,1.0,0.6699,5.6003
38,0.00011820183367500845,1.0,0.6644,5.6528
39,3.704738618037721e-05,1.0,0.6623,5.7306
40,5.3564734545969234e-05,1.0,0.6602,5.6431
41,3.883502950929097e-05,1.0,0.664,5.7817
42,4.147959773760888e-05,1.0,0.6746,5.8832
43,3.2391092645411845e-05,1.0,0.6695,5.9303
44,2.7706604238852857e-05,1.0,0.6703,5.9995
45,1.8081365755753855e-05,1.0,0.6741,6.0757
46,1.608784570385016e-05,1.0,0.6767,6.1243
47,2.2738598011683428e-05,1.0,0.6746,6.1111
48,3.009159501536089e-05,1.0,0.675,6.2106
49,1.1128706854449854e-05,1.0,0.6746,6.2839
50,2.5193116283709953e-05,1.0,0.6712,6.2162
