epoch,train_loss,train_acc,val_acc,val_loss
1,0.21406345112578642,0.9172143974960877,0.9048,0.2966
2,0.010432340150169958,0.9971830985915493,0.9492,0.2117
3,0.011184662503681506,0.9976525821596244,0.8828,0.3963
4,0.003032955740970532,0.9993740219092332,0.9204,0.2582
5,0.0019025534546987994,0.9995305164319249,0.9577,0.1516
6,0.0003593205551266873,1.0,0.9856,0.0599
7,0.0001109075289919795,1.0,0.9843,0.0658
8,0.00015291216197072568,1.0,0.9865,0.062
9,7.276266314448109e-05,1.0,0.9848,0.0621
10,5.306928496949826e-05,1.0,0.9848,0.0643
11,4.547072170401653e-05,1.0,0.9856,0.0608
12,0.0002335314568441783,1.0,0.9771,0.0973
13,6.309690461463969e-05,1.0,0.9797,0.0846
14,4.5954186017341735e-05,1.0,0.9826,0.0763
15,5.611241530500941e-05,1.0,0.9831,0.068
16,2.0866703187021303e-05,1.0,0.9814,0.0711
17,2.4166593898079724e-05,1.0,0.9814,0.0785
18,1.970548740065398e-05,1.0,0.9826,0.075
19,1.7586316645351467e-05,1.0,0.9835,0.0724
20,2.0242643066735574e-05,1.0,0.9818,0.0752
21,1.653123910446212e-05,1.0,0.9826,0.0771
22,1.773746750134112e-05,1.0,0.9822,0.0769
23,1.2026670419330519e-05,1.0,0.9826,0.0766
24,9.833050314052809e-06,1.0,0.9835,0.0775
25,8.750084834644722e-06,1.0,0.9831,0.0784
26,1.1391895252889069e-05,1.0,0.9826,0.0837
27,1.4394648926479787e-05,1.0,0.9826,0.0792
28,8.061992135276022e-06,1.0,0.9831,0.0787
29,1.102747448277884e-05,1.0,0.9835,0.0801
30,8.97297750100012e-06,1.0,0.9822,0.0806
31,6.5245174847064825e-06,1.0,0.9818,0.0825
32,3.4034075841487274e-06,1.0,0.9822,0.0819
33,1.2739035973587842e-05,1.0,0.9818,0.0806
34,1.4875606275018926e-05,1.0,0.9771,0.1095
35,7.01522642422947e-06,1.0,0.9814,0.0969
36,9.134048522994509e-06,1.0,0.9822,0.091
37,4.777529867829209e-06,1.0,0.9818,0.0904
38,6.138242916706862e-06,1.0,0.981,0.0894
39,6.677151950583627e-06,1.0,0.9831,0.0829
40,3.0540132826440208e-06,1.0,0.9835,0.0869
41,1.898764096996859e-05,1.0,0.967,0.1284
42,4.431233610774311e-06,1.0,0.9818,0.0811
43,2.1890605605751405e-06,1.0,0.981,0.084
44,7.06962497999729e-06,1.0,0.975,0.0975
45,1.7051785538376106e-06,1.0,0.9793,0.0909
46,2.548039036198556e-06,1.0,0.9771,0.0962
47,2.5869347406308256e-06,1.0,0.9771,0.0963
48,1.9146427648600205e-06,1.0,0.9771,0.0955
49,4.0956297695626985e-06,1.0,0.9818,0.0861
50,3.13120281158634e-06,1.0,0.9826,0.0906
